,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
0,AIRTEL,download,Andhra Pradesh,2018-09-01,14896.257275132275,-96.52083333333333
1,AIRTEL,download,Andhra Pradesh,2018-10-01,15000.37909270217,-96.1061143984221
2,AIRTEL,download,Andhra Pradesh,2018-11-01,15548.537828302626,-94.04860838886711
3,AIRTEL,download,Andhra Pradesh,2018-12-01,14398.866818625855,-94.69716704656464
4,AIRTEL,download,Andhra Pradesh,2019-01-01,14691.987073422957,-93.82394002068253
5,AIRTEL,download,Andhra Pradesh,2019-02-01,13798.805324459234,-93.84886300610094
6,AIRTEL,download,Andhra Pradesh,2019-03-01,14095.600811123986,-94.35921205098494
7,AIRTEL,download,Andhra Pradesh,2019-04-01,13059.0061034372,-94.08962415676197
8,AIRTEL,download,Andhra Pradesh,2019-05-01,12421.738153594772,-94.37254901960785
9,AIRTEL,download,Andhra Pradesh,2019-06-01,12785.856400742116,-94.44341372912801
10,AIRTEL,download,Andhra Pradesh,2019-07-01,12021.640743550835,-94.27352048558421
11,AIRTEL,download,Andhra Pradesh,2019-08-01,9909.407315045719,-94.2607370462732
12,AIRTEL,download,Andhra Pradesh,2019-09-01,11391.499856610266,-94.34901061084027
13,AIRTEL,download,Andhra Pradesh,2019-10-01,11248.240797028031,-95.40222897669706
14,AIRTEL,download,Andhra Pradesh,2019-11-01,12310.846572361263,-93.43271672107363
15,AIRTEL,download,Andhra Pradesh,2019-12-01,10599.393395133256,-94.2433371958285
16,AIRTEL,download,Andhra Pradesh,2020-01-01,11637.935213414634,-93.35746951219512
17,AIRTEL,download,Andhra Pradesh,2020-02-01,12658.367421718855,-92.91105929380413
18,AIRTEL,download,Andhra Pradesh,2020-03-01,8634.64459833795,-92.7590027700831
19,AIRTEL,download,Andhra Pradesh,2020-04-01,7489.459486166008,-93.7784090909091
20,AIRTEL,download,Andhra Pradesh,2020-05-01,9122.560531638255,-92.30424732736203
21,AIRTEL,download,Andhra Pradesh,2020-06-01,10172.627768313458,-90.33581771720613
22,AIRTEL,download,Andhra Pradesh,2020-07-01,11872.70744327982,-90.12033965768873
23,AIRTEL,download,Andhra Pradesh,2020-08-01,11178.524206738633,-89.63280994438992
24,AIRTEL,download,Andhra Pradesh,2020-09-01,11928.657364114553,-87.70718877849211
25,AIRTEL,download,Andhra Pradesh,2020-10-01,10464.302734076677,-86.7301053917825
